Task 1 Model 1:
0 ['2.300']
10 ['2.298']
20 ['2.272']
30 ['2.243']
40 ['2.184']
50 ['2.098']
60 ['1.977']
70 ['1.717']
80 ['1.450']
90 ['1.352']
100 ['1.113']
110 ['0.859']
120 ['0.729']
130 ['0.863']
140 ['0.585']
150 ['0.563']
160 ['0.562']
170 ['0.513']
180 ['0.498']
190 ['0.469']
200 ['0.491']
210 ['0.546']
220 ['0.339']
230 ['0.339']
240 ['0.337']
250 ['0.264']
260 ['0.390']
270 ['0.304']
280 ['0.300']
290 ['0.469']
300 ['0.485']
310 ['0.221']
320 ['0.418']
330 ['0.269']
340 ['0.280']
350 ['0.396']
360 ['0.257']
370 ['0.441']
380 ['0.261']
390 ['0.203']
400 ['0.304']
410 ['0.196']
420 ['0.351']
430 ['0.391']
440 ['0.168']
450 ['0.229']
460 ['0.399']
Train: [1][469/469]	loss 0.255 (0.756)	Acc@1 93.750 (80.000)
Test model 1 on task 1
Test: [3/3]	loss 0.328 (0.308)	Acc@1 90.597 (91.110)
############################################################ Avg acc: 91.11
Task 2 Model 1:
0 ['0.314', '3.115']
10 ['0.343', '1.774']
20 ['0.333', '1.135']
30 ['0.326', '0.740']
40 ['0.323', '0.603']
50 ['0.327', '0.544']
60 ['0.326', '0.530']
70 ['0.326', '0.381']
80 ['0.326', '0.475']
90 ['0.327', '0.501']
100 ['0.327', '0.456']
110 ['0.327', '0.409']
120 ['0.328', '0.387']
130 ['0.329', '0.263']
140 ['0.328', '0.436']
150 ['0.328', '0.391']
160 ['0.329', '0.359']
170 ['0.328', '0.379']
180 ['0.329', '0.355']
190 ['0.328', '0.469']
200 ['0.328', '0.382']
210 ['0.328', '0.350']
220 ['0.328', '0.411']
230 ['0.328', '0.437']
240 ['0.328', '0.325']
250 ['0.328', '0.287']
260 ['0.328', '0.269']
270 ['0.329', '0.386']
280 ['0.329', '0.328']
290 ['0.328', '0.459']
300 ['0.328', '0.340']
310 ['0.328', '0.318']
320 ['0.328', '0.275']
330 ['0.329', '0.336']
340 ['0.328', '0.249']
350 ['0.328', '0.262']
360 ['0.327', '0.399']
370 ['0.328', '0.404']
380 ['0.328', '0.346']
390 ['0.327', '0.412']
400 ['0.327', '0.311']
410 ['0.327', '0.348']
420 ['0.329', '0.365']
430 ['0.328', '0.180']
440 ['0.327', '0.212']
450 ['0.328', '0.332']
460 ['0.327', '0.353']
